ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
254,"3,4,5-trihydroxybenzoate|",C7H5O5,-1,"aromatic ring =C< : 4 | aromatic ring =CH- : 2 | -COO : 1 | -OH : 3 | Origin : 1 | OCCC : 1",-171.49,1.36,,,"no exact name match in CHEBI"
255,imidazole|,C3H4N2,0,"ring =CH- : 3 | ring -NH- : 1 | ring =N- : 1 | Origin : 1 | heteroaromatic : 1",33.78,1.22,,,
256,"9-cis,12-cis-octadecadienoate|",C18H31O2,-1,"-CH2- : 12 | =CH- : 4 | -COO : 1 | -CH3 : 1 | Origin : 1",-16.11,1.44,,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,
257,stachyose|,C24H42O21,0,"ring >C< : 1 | -O- : 3 | ring -O- : 4 | ring -CH< : 18 | -CH2- : 5 | -OH : 14 | Origin : 1",-694.61,5.75,,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,
258,threonate|,C4H7O5,-1,">CH- : 2 | -COO : 1 | -OH : 3 | -CH2- : 1 | Origin : 1",-195.82,0.51,,,"no exact name match in CHEBI"
259,"adenosine-3',5'-biphosphate|",C10H14N5O10P2,-1,"dbl sgl ring =N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 2 | -OH : 1 | ring =C< : 1 | -OPO3 : 2 | -CH2- : 1 | ring -NH- : 1 | -NH2 : 1 | Origin : 1 | CCCN : 1 | CCNC : 3",-478.33,2.83,,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,
260,C01653|tRNAVal|,C15H23O16P2R3,-2,"ring -CH< : 12 | -OPO3- : 2 | ring -O- : 3 | -CH2- : 3 | -OH : 5 | RW : 3 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
261,fructose|fru|,C6H12O6,0,"ring >C< : 1 | ring -CH< : 3 | ring -O- : 1 | -CH2- : 2 | -OH : 5 | Origin : 1",-219.17,1.36,,,
262,fuculose|rhamnose|,C6H12O5,0,"ring -CH< : 5 | -OH : 4 | ring -O- : 1 | -CH3 : 1 | Origin : 1",-182.05,1.5,,,
263,lombricine|,C6H15N4O6P,0,"-OPO3- : 1 | -CH2- : 3 | >CH- : 1 | -COO : 1 | -NH3 : 1 | -NH- : 1 | =C< : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-307.77,1.62,,,"no exact name match in CHEBI"
264,reduced-pyocyanine|,C13H12N2O,0,"aromatic ring fused to nonaromatic ring >C=  : 4 | ring -N< : 1 | aromatic ring =CH- : 7 | ring -NH- : 1 | aromatic ring =C< : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",51.67,2.77,,,"no exact name match in CHEBI"
265,thiocyanate|,CNS,-1,"≡C- : 1 | ≡N : 1 | -Sneg : 1 | Origin : 1",22.2,5.69,,N=C=S,
266,xanthosine|,C10H12N4O6,0,"two fused rings >C= : 2 | ring -N< : 1 | ring -CH< : 4 | ring =CH- : 1 | ring =N- : 1 | ring >C=O : 2 | ring -O- : 1 | -OH : 3 | -CH2- : 1 | amide : 2 | ring -NH- : 2 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-151.93,2.79,,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c1[nH]c(=O)[nH]c2=O,
267,erythrose|,C4H8O4,0,"ring -CH< : 3 | -OH : 3 | ring -CH2- : 1 | ring -O- : 1 | Origin : 1",-143.4,1.2,,,
268,L-norvaline|,C5H11NO2,0,">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | -CH3 : 1 | Origin : 1",-84.68,0.34,,,"no exact name match in CHEBI"
269,isopropanol|,C3H8O,0,">CH- : 1 | -CH3 : 2 | -OH : 1 | Origin : 1",-43.72,0.29,,CC(C)O,
270,FMN|fmnox|,C17H20N4O9P,-1,"ring -N< : 1 | aromatic ring fused to nonaromatic ring >C=  : 2 | two fused rings >C= : 2 | -CH2- : 2 | aromatic ring =CH- : 2 | ring =N- : 2 | >CH- : 3 | aromatic ring =C< : 2 | ring >C=O : 2 | -OH : 3 | -CH3 : 2 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCN : 1 | OCNC : 1 | NCCN : 1 | CCNC : 1",-337.52,2.89,,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)c2cc1C,
271,norleucine|,C6H13NO2,0,">CH- : 1 | -COO : 1 | -CH2- : 3 | -NH3 : 1 | -CH3 : 1 | Origin : 1",-83.06,0.39,,,"no exact name match in CHEBI"
272,taurocyamine|,C3H9N3O3S,0,"-SO3 : 1 | -CH2- : 2 | -NH- : 1 | =C< : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-114.87,1.7,,NC(=N)NCCS(O)(=O)=O,
273,indole-3-lactate|,C11H10NO3,-1,"aromatic ring fused to nonaromatic ring >C=  : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | -CH2- : 1 | ring =CH- : 1 | ring -NH- : 1 | >CH- : 1 | -COO : 1 | -OH : 1 | Origin : 1 | heteroaromatic : 1",-60.25,1.57,,,"no exact name match in CHEBI"
274,erythrulose|,C4H8O4,0,">CH- : 1 | >C=O : 1 | -CH2- : 2 | -OH : 3 | Origin : 1",-144.58,0.48,,OCC(O)C(=O)CO,
275,11-cis-retinal|all-trans-retinal|,C20H28O,0,"ring =C< : 2 | ring >C< : 1 | =CH- : 6 | ring -CH2- : 3 | -CH3 : 5 | =C< : 2 | -CH=O : 1 | Origin : 1 | OCCC : 1 | CCCC : 4",78.83,2.68,,CC(/C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C\C=O,
276,2-methylserine|,C4H9NO3,0,">C< : 1 | -COO : 1 | -CH2- : 1 | -CH3 : 1 | -NH3 : 1 | -OH : 1 | Origin : 1",-125.76,0.42,,CC(N)(CO)C(O)=O,
277,3-oxobutanoate|acetoacetate|acac|b-ketobutyrate|,C4H5O3,-1,"-CH2- : 1 | -COO : 1 | -CH3 : 1 | >C=O : 1 | Origin : 1",-113.53,0.25,,CC(=O)CC([O-])=O,
278,dihydro-alpha-lipoate|,C8H15O2S2,-1,"-CH2- : 6 | >CH- : 1 | -SH : 2 | -COO : 1 | Origin : 1",-69.79,1.39,,[O-]C(=O)CCCCC(S)CCS,
279,2-methylmaleate|2-methylfumarate|,C5H4O4,-2,"=C< : 1 | =CH- : 1 | -COO : 2 | -CH3 : 1 | Origin : 1 | OCCC : 2",-144.45,0.71,,[H]\C(C([O-])=O)=C(/C)C([O-])=O,
280,5-oxo-D-proline|,C5H6NO3,-1,"ring -CH< : 1 | ring -CH2- : 2 | -COO : 1 | ring >C=O : 1 | amide : 1 | ring -NH- : 1 | Origin : 1",-110.12,0.89,,[H][C@@]1(CCC(=O)N1)C(O)=O,
281,GDPgalactose|GDPmannose|GDPglucose|,C16H23N5O16P2,-2,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 9 | ring =CH- : 1 | ring =N- : 2 | ring -O- : 2 | ring >C=O : 1 | ring =C< : 1 | -OH : 6 | -NH2 : 1 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-673.08,3.7,,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,
282,methylitaconate|,C6H6O4,-2,">CH- : 1 | =C< : 1 | -COO : 2 | -CH3 : 1 | =CH2 : 1 | Origin : 1 | OCCC : 1",-143.75,0.63,,CC(C(O)=O)C(=C)C(O)=O,
283,phosphocreatine|,C4H8N3O5P,-2,"=C< : 1 | -N< : 1 | -NH- : 1 | =NH2 : 1 | -CH2- : 1 | -CH3 : 1 | -OPO2 : 1 | -COO : 1 | Origin : 1",-262.13,1.93,,,"no exact name match in CHEBI"
284,formyl-phosphate|,CH2O5P,-1,"formylphosphate : 1",-302.57,1.93,,[H]C(=O)OP(O)([O-])=O,
285,cis-cis-hexadienedioate|,C6H4O4,-2,"-COO : 2 | =CH- : 4 | Origin : 1 | OCCC : 2 | CCCC : 1",-122.92,1.18,,,"no exact name match in CHEBI"
286,"3,5-dinitrophenol|",C6H4N2O5,0,"aromatic ring =C< : 3 | aromatic ring =CH- : 3 | -NO2 : 2 | -OH : 1 | Origin : 1",None,None,"Involves groups with unknown energy",Oc1cc(cc(c1)N(=O)=O)N(=O)=O,
287,valyl-tRNAVal|,C20H33NO17P2R3,-1,"ring -CH< : 12 | -OPO3- : 2 | ring -O- : 3 | -CH2- : 3 | -OH : 4 | RW : 3 | -O-CO- : 1 | >CH- : 2 | -NH3 : 1 | -CH3 : 2 | Origin : 1",None,None,"Involves groups with unknown energy",,
288,methylmalonyl-CoA|,C25H36N7O19P3S,-4,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 6 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 2 | -CH3 : 3 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-863.85,3.55,,CC(C(O)=O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
289,N-acetylimidazole|,C5H6N2O,0,">C=O : 1 | ring =CH- : 3 | -CH3 : 1 | ring =N- : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | heteroaromatic : 1",3.35,1.33,,CC(=O)n1ccnc1,
290,acetylcarnitine|,C9H17NO4,0,"-CH2- : 2 | >CH- : 1 | >N< : 1 | -O-CO- : 1 | -CH3 : 4 | -COO : 1 | Origin : 1",-103.28,2.04,,,"no exact name match in CHEBI"
291,retinyl-palmitate|,C36H60O2,0,"ring =C< : 2 | ring >C< : 1 | =CH- : 6 | ring -CH2- : 3 | -CH3 : 6 | =C< : 2 | -CH2- : 15 | -O-CO- : 1 | Origin : 1 | CCCC : 4",56.13,3.02,,,
292,sucrose-6-phosphate|,C12H22O14P,-1,"ring >C< : 1 | -O- : 1 | ring -O- : 2 | ring -CH< : 8 | -CH2- : 3 | -OH : 7 | -OPO3 : 1 | Origin : 1",-590.15,2.73,,,"no exact name match in CHEBI"
293,pyruvate-kinase|,C3H3O3,-1,">C=O : 1 | -COO : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",-112.69,0.3,,,"no exact name match in CHEBI"
294,S-2-methylmalate|R-2-methylmalate|,C5H6O5,-2,">C< : 1 | -COO : 2 | -CH2- : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-202.61,0.42,,,"no exact name match in CHEBI"
295,"R,S-2,3-dimethylmalate|2,3-dimethylmalate|",C6H8O5,-2,">C< : 1 | >CH- : 1 | -COO : 2 | -CH3 : 2 | -OH : 1 | Origin : 1",-202.8,0.47,,C[C@H](C([O-])=O)[C@@](C)(O)C([O-])=O,
296,3-dehydrocarnitine|,C7H13NO3,0,">N< : 1 | -CH2- : 2 | -CH3 : 3 | >C=O : 1 | -COO : 1 | Origin : 1",-57.81,1.98,,C[N+](C)(C)CC(=O)CC([O-])=O,
297,3-dehydroshikimate|,C7H7O5,-1,"ring =C< : 1 | ring -CH2- : 1 | ring =CH- : 1 | -COO : 1 | ring -CH< : 2 | ring >C=O : 1 | -OH : 2 | Origin : 1 | OCCC : 2",-166.28,0.93,,O[C@@H]1CC(=CC(=O)[C@H]1O)C([O-])=O,
298,5-dehydroshikimate|,C7H7O5,-1,"ring =C< : 1 | ring -CH2- : 1 | ring =CH- : 1 | -COO : 1 | ring >C=O : 1 | ring -CH< : 2 | -OH : 2 | Origin : 1 | OCCC : 1",-164.73,0.83,,O[C@@H]1CC(=CC(=O)[C@H]1O)C(O)=O,
299,coniferyl-aldehyde|,C10H10O3,0,"aromatic ring =C< : 3 | -OH : 1 | aromatic ring =CH- : 3 | -O- : 1 | =CH- : 2 | -CH3 : 1 | -CH=O : 1 | Origin : 1 | OCCC : 1 | CCCC : 1",-43.88,1.32,,COc1cc(\C=C\C=O)ccc1O,
300,heteroanilithiamine|,C12H14N4,0,"ring =C< : 3 | ring =CH- : 1 | ring =N- : 2 | -NH2 : 1 | -CH3 : 1 | aromatic ring =CH- : 5 | aromatic ring =C< : 1 | -CH2- : 1 | -NH- : 1 | Origin : 1 | heteroaromatic : 1",92.06,1.92,,,"no exact name match in CHEBI"
301,heteronicotinathiamine|,C12H14N5O,1,"ring =C< : 4 | ring =CH- : 5 | ring =N- : 2 | -NH2 : 2 | -CH3 : 1 | -CH2- : 1 | >C=O : 1 | dbl sgl ring =N< : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2",64.84,2.67,,,"no exact name match in CHEBI"
302,N-acetyl-L-methionine|,C7H12NO3S,-1,">CH- : 1 | -COO : 1 | -CH2- : 2 | >C=O : 1 | -CH3 : 2 | -S- : 1 | amide : 1 | -NH- : 1 | Origin : 1",-105.51,1.04,,,"no exact name match in CHEBI"
303,N-formiminoglycine|,C3H6N2O2,0,"-CH2- : 1 | -COO : 1 | -NH- : 1 | =CH- : 1 | =NH2 : 1 | Origin : 1",-80.78,1.45,,OC(=O)CNC=N,
304,enol-phenylpyruvate|,C9H7O3,-1,"aromatic ring =C< : 1 | =CH- : 1 | aromatic ring =CH- : 5 | =C< : 1 | -COO : 1 | -OH : 1 | Origin : 1 | OCCC : 1 | CCCC : 1",-70.87,1.04,,OC(=Cc1ccccc1)C([O-])=O,
305,Nomega-phospholombricine|,C6H14N4O9P2,-2,"-OPO3- : 1 | -CH2- : 3 | >CH- : 1 | -COO : 1 | -NH3 : 1 | -NH- : 2 | =C< : 1 | =NH2 : 1 | -OPO2 : 1 | Origin : 1",-504.31,1.87,,,"no exact name match in CHEBI"
306,1-sinapoyl-D-glucose|,C17H21O10,-1,"aromatic ring =C< : 4 | -O- : 3 | aromatic ring =CH- : 2 | ring -CH< : 5 | -CH3 : 2 | ring -O- : 1 | =CH- : 2 | -OH : 4 | -CH2- : 1 | -COO : 1 | Origin : 1 | OCCC : 1 | CCCC : 1",-279.89,2.43,,COc1cc(cc(OC)c1O)\C=C\C(=O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
307,2-methyleneglutarate|,C6H6O4,-2,"=C< : 1 | -CH2- : 2 | -COO : 2 | =CH2 : 1 | Origin : 1 | OCCC : 1",-141.94,0.62,,,"no exact name match in CHEBI"
308,"7,8-dihydrobiopterin|",C9H13N5O3,0,"two fused rings >C= : 2 | ring -NH- : 2 | ring =N- : 2 | ring >C=O : 1 | ring -CH2- : 1 | ring =C< : 2 | -NH2 : 1 | >CH- : 2 | -OH : 2 | -CH3 : 1 | amide : 1 | Origin : 1 | OCCC : 1 | CCNC : 2",-39.72,2.6,,C[C@@H](O)[C@@H](O)C1=Nc2c(NC1)[nH]c(N)nc2=O,
309,palmitoylcarnitine|,C23H45NO4,0,">CH- : 1 | -O-CO- : 1 | -CH2- : 16 | >N< : 1 | -COO : 1 | -CH3 : 4 | Origin : 1",-80.6,2.47,,,"no exact name match in CHEBI"
310,propionylcarnitine|,C10H19NO4,0,">CH- : 1 | -O-CO- : 1 | -CH2- : 3 | >N< : 1 | -COO : 1 | -CH3 : 4 | Origin : 1",-101.66,2.05,,CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,
311,"R,R-2,3-butanediol|2,3-butanediol|",C4H10O2,0,">CH- : 2 | -CH3 : 2 | -OH : 2 | Origin : 1",-80.14,0.45,,,"no exact name match in CHEBI"
312,2-hydroxymethylserine|,C4H9NO4,0,">C< : 1 | -COO : 1 | -CH2- : 2 | -NH3 : 1 | -OH : 2 | Origin : 1",-161.99,0.48,,,"no exact name match in CHEBI"
313,3-oxo-L-threonate|,C4H5O5,-1,">CH- : 1 | >C=O : 1 | -COO : 1 | -OH : 2 | -CH2- : 1 | Origin : 1",-187.8,0.37,,,"no exact name match in CHEBI"
314,3-hydroxybenzaldehyde|,C7H6O2,0,"aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -CH=O : 1 | -OH : 1 | Origin : 1 | OCCC : 1",-39.83,0.9,,[H]C(=O)c1cccc(O)c1,
315,4-phospho-L-aspartate|L-4-aspartyl-phosphate|,C4H7NO7P,-1,"-CO-OPO3- : 1 | -CH2- : 1 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1",-380.65,0.37,,N[C@@H](CC(=O)OP([O-])([O-])=O)C([O-])=O,
316,N-acetyl-L-tyrosine|,C11H12NO4,-1,">CH- : 1 | -COO : 1 | -CH2- : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -OH : 1 | -CH3 : 1 | >C=O : 1 | amide : 1 | -NH- : 1 | Origin : 1",-120.13,1.1,,,"no exact name match in CHEBI"
317,nicotinamide-riboside|,C11H15N2O5,1,"ring -CH< : 4 | dbl sgl ring =N< : 1 | ring -O- : 1 | ring =CH- : 4 | -OH : 3 | ring =C< : 1 | -CH2- : 1 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-125.24,2.03,,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
318,phosphoguanidinoacetate|,C3H6N3O5P,-2,"-OPO2 : 1 | -NH- : 2 | =C< : 1 | =NH2 : 1 | -CH2- : 1 | -COO : 1 | Origin : 1",-272.38,1.79,,OC(=O)CNC(=N)NP(O)(O)=O,
319,tetrahydroxypteridine|,C6H4N4O4,0,"two fused rings >C= : 2 | ring >C=O : 4 | amide : 4 | ring -NH- : 4 | Origin : 1 | OCCO : 1 | OCCC : 1",-118.57,3.33,,Oc1nc(O)c2nc(O)c(O)nc2n1,
320,"2,2'-iminodipropanoate|",C6H10NO4,-1,">CH- : 2 | -COO : 2 | -NH2- : 1 | -CH3 : 2 | Origin : 1",-157.39,1,,CC(NC(C)C([O-])=O)C([O-])=O,
321,3-phosphohydroxypyruvate|3-phosphonooxypyruvate|,C3H3O7P,-2,"-OPO3 : 1 | -CH2- : 1 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1",-361.42,0.33,,,"no exact name match in CHEBI"
322,xanthine-8-carboxylate|,C6H3N4O4,-1,"two fused rings >C= : 2 | ring -NH- : 3 | ring >C=O : 2 | ring =N- : 1 | ring =C< : 1 | -COO : 1 | amide : 2 | Origin : 1 | OCCC : 1 | OCCN : 1 | heteroaromatic : 1",-110.61,2.74,,[O-]C(=O)c1nc2[nH]c(=O)[nH]c(=O)c2[nH]1,
323,3-hydroxybenzyl-alcohol|,C7H8O2,0,"aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -CH2- : 1 | -OH : 2 | Origin : 1",-47.76,0.89,,OCc1cccc(O)c1,
324,"D-galactono-1,4-lactone|",C6H10O6,0,"ring -CH< : 3 | ring -O-CO- : 1 | >CH- : 1 | -OH : 4 | -CH2- : 1 | Origin : 1",-215.78,1.15,,[H][C@]1(OC(=O)[C@H](O)[C@H]1O)[C@H](O)CO,
325,erythrulose-1-phosphate|,C4H8O7P,-1,"-OPO3 : 1 | -CH2- : 2 | >C=O : 1 | >CH- : 1 | -OH : 2 | Origin : 1",-357.08,0.42,,,"no exact name match in CHEBI"
326,N-L-arginosuccinate|,C10H17N4O6,-1,">CH- : 2 | -NH- : 2 | -CH2- : 4 | -COO : 3 | =C< : 1 | =NH2 : 1 | -NH3 : 1 | Origin : 1",-224.81,1.83,,,"no exact name match in CHEBI"
327,N-glycolylneuraminate|,C11H18NO10,-1,"ring -CH< : 3 | ring -O- : 1 | >CH- : 2 | ring >C< : 1 | -OH : 6 | ring -CH2- : 1 | >C=O : 1 | -COO : 1 | -CH2- : 2 | amide : 1 | -NH- : 1 | Origin : 1",-362.63,1.61,,,"no exact name match in CHEBI"
328,R-S-lactoylglutathione|,C13H20N3O8S,-1,">CH- : 3 | -CH2- : 4 | >C=O : 3 | -COO : 2 | -CH3 : 1 | -OH : 1 | -NH3 : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1",-291.21,1.74,,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,
329,2-oxo-3-hydroxysuccinate|2-oxo-3-hydroxybutanedioic-acid|,C4H2O6,-2,">CH- : 1 | >C=O : 1 | -COO : 2 | -OH : 1 | Origin : 1 | OCCO : 1",-228.56,0.39,,,"no exact name match in CHEBI"
330,adenosine-5'-tetraphosphate|,C10H13N5O16P4,-4,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO2- : 3 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-881.85,3.06,,,"no exact name match in CHEBI"
331,1-indol-3-yl-glycerol-3-phosphate|,C11H13NO6P,-1,"aromatic ring fused to nonaromatic ring >C=  : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | >CH- : 2 | ring =CH- : 1 | ring -NH- : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 1",-267.57,1.61,,,"no exact name match in CHEBI"
332,N-acetyl-L-phenylalanine|,C11H12NO3,-1,">CH- : 1 | -CH2- : 1 | -COO : 1 | aromatic ring =C< : 1 | >C=O : 1 | aromatic ring =CH- : 5 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-80.65,1.04,,CC(=O)N[C@@H](Cc1ccccc1)C(O)=O,
333,N-glycolyl-D-mannosamine|,C8H15NO7,0,"ring -CH< : 5 | -OH : 5 | ring -O- : 1 | >C=O : 1 | -CH2- : 2 | amide : 1 | -NH- : 1 | Origin : 1",-248.86,1.68,,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(NC(=O)CO)C=O,
334,delta1-pyrroline-2-carboxylate|,C5H6NO2,-1,"ring =C< : 1 | -COO : 1 | ring -CH2- : 3 | ring =N- : 1 | Origin : 1 | OCCN : 1",-60.71,1.17,,,"no exact name match in CHEBI"
335,N4-methylcytidine|,C10H15N3O5,0,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 1 | ring =N- : 1 | ring =C< : 2 | -CH2- : 1 | -OH : 3 | -CH3 : 1 | -NH2 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-133.29,1.97,,,"no exact name match in CHEBI"
336,L-threo-3-methylaspartate|,C5H8NO4,-1,">CH- : 2 | -COO : 2 | -CH3 : 1 | -NH3 : 1 | Origin : 1",-165.94,0.44,,CN[C@H](CC(O)=O)C(O)=O,
337,5-hydroxy-N-methylpyroglutamate|,C6H8NO4,-1,"-CH2- : 2 | >C=O : 2 | -COO : 1 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1 | OCCO : 1",-141.65,0.78,,,"no exact name match in CHEBI"
338,S-5-amino-3-oxohexanoate|,C6H11NO3,0,"-CH2- : 2 | >C=O : 1 | >CH- : 1 | -CH3 : 1 | -NH3 : 1 | -COO : 1 | Origin : 1",-113.08,0.39,,,"no exact name match in CHEBI"
339,"4,5-dihydro-4-oxo-5-imidazolepropanoate|",C6H7N2O3,-1,"ring -CH< : 1 | ring >C=O : 1 | ring -NH- : 1 | -CH2- : 2 | ring =N- : 1 | ring =CH- : 1 | -COO : 1 | Origin : 1 | OCNC : 1",-86.31,0.93,,OC(=O)CCC1NC=NC1=O,
340,L-5-carboxymethylhydantoin|,C5H5N2O4,-1,"ring -CH< : 1 | ring >C=O : 2 | -CH2- : 1 | -COO : 1 | amide : 2 | ring -NH- : 2 | Origin : 1",-153.08,1.42,,OC(=O)C[C@@H]1NC(=O)NC1=O,
341,benzyloxycarbonylglycine|,C10H10NO4,-1,"aromatic ring =C< : 1 | -CH2- : 2 | aromatic ring =CH- : 5 | -O-CO- : 1 | -COO : 1 | amide : 1 | -NH- : 1 | Origin : 1",-127.36,1.1,,OC(=O)CNC(=O)OCc1ccccc1,
342,"5alpha-androstane-3,17-dione|5beta-androstane-3,17-dione|",C19H28O2,0,"two fused rings >CH- : 4 | ring -CH2- : 9 | two fused rings >C< : 2 | -CH3 : 2 | ring >C=O : 2 | Origin : 1",-36.26,7.19,,[H][C@@]12CC[C@@]3([H])[C@]4([H])CCC(=O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CCC(=O)C2,
343,adenylosuccinate|,C14H15N5O11P,-3,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 2 | -NH- : 1 | -CH2- : 2 | >CH- : 1 | -OPO3 : 1 | -COO : 2 | Origin : 1 | heteroaromatic : 2",-408.89,3.07,,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c(NC(CC(O)=O)C(O)=O)ncnc12,
344,phosphoenolpyruvate-kinase|,C3H3O6P,-2,"-OPO3 : 1 | =C< : 1 | -COO : 1 | =CH2 : 1 | Origin : 1 | OCCC : 1",-316.08,0.59,,,"no exact name match in CHEBI"
345,DL-delta1-pyrroline-5-carboxylate|,C5H9NO3,0,">C=O : 1 | -COO : 1 | -CH2- : 3 | -NH3 : 1 | Origin : 1 | OCCO : 1",-110.43,0.43,,,"no exact name match in CHEBI"
346,erythro-3-hydroxyaspartate|,C4H6NO5,-1,">CH- : 2 | -COO : 2 | -NH3 : 1 | -OH : 1 | Origin : 1",-203.79,0.44,,,"no exact name match in CHEBI"
347,guanosine-3'-methylphosphate|,C11H16N5O8P,0,"two fused rings >C= : 2 | dbl sgl ring =N< : 1 | ring =N- : 2 | ring -CH< : 4 | ring -CH2- : 1 | ring >C=O : 1 | ring =C< : 1 | ring -O- : 1 | -NH2 : 1 | -OH : 2 | -CH2- : 1 | -OPO3- : 1 | -CH3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCN : 1 | NCCN : 1 | CCNC : 1",-305.35,2.81,,,"no exact name match in CHEBI"
348,dimethylpropiothetin|,C5H10O2S,0,"-COO : 1 | -CH2- : 2 | -S< : 1 | -CH3 : 2 | Origin : 1",-65.26,2.07,,C[S+](C)CCC([O-])=O,
349,5-amino-4-imidazolecarboxamide|,C4H6N4O,0,"ring =C< : 2 | >C=O : 1 | ring =N- : 1 | ring -NH- : 1 | -NH2 : 2 | ring =CH- : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",0.09,1.41,,NC(=O)c1ncn([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)c1N,
350,"9-cis,11-trans-octadecadienoate|",C18H31O2,-1,"-CH2- : 12 | =CH- : 4 | -COO : 1 | -CH3 : 1 | Origin : 1 | CCCC : 1",-20.93,1.5,,CCCCCC\C=C\C=C/CCCCCCCC([O-])=O,
